,date,year,region,type,avg_price,price_category,total_volume,small_av,large_av,xlarge_av,total_bags,small_bags,large_bags,xlarge_bags
59,2015-11-08,2015,Atlanta,conventional,1.12,Medium,334042,250442,34483,488,48629,35663,12941,25
60,2015-11-01,2015,Atlanta,conventional,0.99,Low,419089,290458,62980,253,65398,39461,25929,8
61,2015-10-25,2015,Atlanta,conventional,1.09,Medium,358478,236815,64608,304,56751,31826,24925,0
62,2015-10-18,2015,Atlanta,conventional,1.09,Medium,349072,228710,59732,291,60339,36884,23455,0
63,2015-10-11,2015,Atlanta,conventional,0.95,Low,433874,255933,91047,600,86294,41160,45134,0
64,2015-10-04,2015,Atlanta,conventional,0.96,Low,418682,265798,92780,644,59460,14875,44585,0
65,2015-09-27,2015,Atlanta,conventional,1.07,Medium,370321,262107,61871,681,45662,20533,25126,3
66,2015-09-20,2015,Atlanta,conventional,0.93,Low,516433,346119,82763,1349,86202,33699,52442,61
67,2015-09-13,2015,Atlanta,conventional,1.07,Medium,417232,278048,62486,715,75983,46290,29679,14
68,2015-09-06,2015,Atlanta,conventional,0.97,Low,472137,303114,73676,911,94436,49833,44550,53
69,2015-08-30,2015,Atlanta,conventional,1.15,Medium,382973,275819,44839,1034,61281,47138,14112,31
70,2015-08-23,2015,Atlanta,conventional,1.12,Medium,379054,274462,46224,950,57418,45534,11884,0
71,2015-08-16,2015,Atlanta,conventional,1.09,Medium,465214,362580,41992,1425,59217,45068,14149,0
72,2015-08-09,2015,Atlanta,conventional,1.01,Medium,503792,385028,47040,4252,67472,45821,21568,83
73,2015-08-02,2015,Atlanta,conventional,1.15,Medium,405898,306588,41907,3515,53888,42126,11720,42
74,2015-07-26,2015,Atlanta,conventional,1.08,Medium,437378,335372,44087,708,57211,45115,12096,0
75,2015-07-19,2015,Atlanta,conventional,0.97,Low,557213,446101,47838,1982,61292,45100,16192,0
76,2015-07-12,2015,Atlanta,conventional,1.14,Medium,407205,310081,37953,867,58304,46024,12280,0
77,2015-07-05,2015,Atlanta,conventional,1.01,Medium,562462,436378,54675,849,70560,50684,19851,25
78,2015-06-28,2015,Atlanta,conventional,1.13,Medium,435211,331353,37699,817,65342,52100,13108,134
79,2015-06-21,2015,Atlanta,conventional,0.99,Low,554764,449312,30232,678,74542,55484,19011,47
80,2015-06-14,2015,Atlanta,conventional,1.1,Medium,465805,386371,17701,472,61261,48612,12578,71
81,2015-06-07,2015,Atlanta,conventional,0.99,Low,551009,455566,22414,739,72290,50955,21330,5
82,2015-05-31,2015,Atlanta,conventional,1.1,Medium,454702,382901,19543,523,51735,40505,11200,30
83,2015-05-24,2015,Atlanta,conventional,0.96,Low,623212,538127,27284,1261,56540,33867,22651,22
84,2015-05-17,2015,Atlanta,conventional,1.11,Medium,451251,386401,18619,839,45392,33710,11682,0
85,2015-05-10,2015,Atlanta,conventional,1.1,Medium,480071,413453,18861,1089,46668,34108,12560,0
86,2015-05-03,2015,Atlanta,conventional,1.0,Low,634213,538403,28568,1060,66182,32521,33661,0
87,2015-04-26,2015,Atlanta,conventional,1.12,Medium,448597,387677,18366,1042,41512,31315,10197,0
88,2015-04-19,2015,Atlanta,conventional,1.12,Medium,430966,368709,18041,873,43343,29662,13681,0
89,2015-04-12,2015,Atlanta,conventional,0.99,Low,451102,377579,22420,219,50884,25833,25051,0
90,2015-04-05,2015,Atlanta,conventional,1.04,Medium,383139,318473,19254,375,45037,28612,16290,135
91,2015-03-29,2015,Atlanta,conventional,1.11,Medium,365722,305029,16652,261,43780,29314,14466,0
92,2015-03-22,2015,Atlanta,conventional,1.0,Low,479591,393591,23420,305,62275,40495,21767,13
93,2015-03-15,2015,Atlanta,conventional,1.12,Medium,399566,336172,16508,311,46575,34911,11626,38
94,2015-03-08,2015,Atlanta,conventional,1.1,Medium,420826,361559,15789,237,43241,33847,9394,0
95,2015-03-01,2015,Atlanta,conventional,0.99,Low,512532,441543,21184,348,49457,32181,17273,3
96,2015-02-22,2015,Atlanta,conventional,1.1,Medium,431309,369317,18325,237,43430,33424,10006,0
97,2015-02-15,2015,Atlanta,conventional,1.06,Medium,427391,364447,17420,638,44886,26728,18158,0
98,2015-02-08,2015,Atlanta,conventional,1.03,Medium,433884,377257,17162,525,38940,18044,20896,0
99,2015-02-01,2015,Atlanta,conventional,0.96,Low,636771,553199,31583,295,51694,10553,41141,0
100,2015-01-25,2015,Atlanta,conventional,1.1,Medium,449333,393409,18718,594,36612,13176,23436,0
101,2015-01-18,2015,Atlanta,conventional,1.11,Medium,431491,372237,18702,512,40040,16782,23258,0
102,2015-01-11,2015,Atlanta,conventional,1.11,Medium,397543,330412,18958,1135,47038,21310,25728,0
103,2015-01-04,2015,Atlanta,conventional,1.0,Low,435021,364302,23821,82,46816,16707,30109,0
104,2015-12-27,2015,BaltimoreWashington,conventional,1.17,Medium,596819,40450,394104,17354,144911,142544,2367,0
105,2015-12-20,2015,BaltimoreWashington,conventional,1.11,Medium,642682,44741,434591,19112,144238,141752,2486,0
106,2015-12-13,2015,BaltimoreWashington,conventional,1.15,Medium,619509,44400,399852,24291,150966,149070,1896,0
107,2015-12-06,2015,BaltimoreWashington,conventional,1.04,Medium,649141,51130,453586,25760,118665,117113,1552,0
108,2015-11-29,2015,BaltimoreWashington,conventional,1.16,Medium,545800,41028,379156,20148,105468,103616,1852,0
109,2015-11-22,2015,BaltimoreWashington,conventional,1.12,Medium,572020,40868,386138,23343,121671,119008,2663,0
110,2015-11-15,2015,BaltimoreWashington,conventional,1.04,Medium,718330,47110,503470,37990,129760,125297,4463,0
111,2015-11-08,2015,BaltimoreWashington,conventional,1.05,Medium,830967,58579,576513,51035,144840,138777,6063,0
112,2015-11-01,2015,BaltimoreWashington,conventional,1.12,Medium,742221,51860,473819,58616,157926,152717,5209,0
113,2015-10-25,2015,BaltimoreWashington,conventional,1.19,Medium,656892,53766,397911,49086,156129,149988,6141,0
114,2015-10-18,2015,BaltimoreWashington,conventional,0.99,Low,1005604,59122,745385,49171,151926,146421,5505,0
115,2015-10-11,2015,BaltimoreWashington,conventional,1.24,Medium,653560,34707,392009,58490,168354,163669,4685,0
116,2015-10-04,2015,BaltimoreWashington,conventional,1.28,Medium,657444,35342,407610,42258,172234,167495,4739,0
117,2015-09-27,2015,BaltimoreWashington,conventional,1.19,Medium,696282,34309,451061,59019,151893,146793,5100,0
118,2015-09-20,2015,BaltimoreWashington,conventional,1.17,Medium,709269,39620,450283,45336,174030,168890,5140,0
119,2015-09-13,2015,BaltimoreWashington,conventional,1.09,Medium,924994,55700,675524,42270,151500,145686,5814,0
120,2015-09-06,2015,BaltimoreWashington,conventional,1.18,Medium,823623,63904,522568,68180,168971,165696,3269,6
121,2015-08-30,2015,BaltimoreWashington,conventional,1.24,Medium,734721,48456,458207,42754,185304,181968,3159,177
122,2015-08-23,2015,BaltimoreWashington,conventional,1.16,Medium,783935,59242,499100,47216,178377,175048,3060,269
123,2015-08-16,2015,BaltimoreWashington,conventional,1.14,Medium,882755,86492,597185,43103,155975,153156,2797,22
124,2015-08-09,2015,BaltimoreWashington,conventional,1.16,Medium,821523,56362,557364,42934,164863,161565,3298,0
125,2015-08-02,2015,BaltimoreWashington,conventional,1.17,Medium,800603,53957,535167,44750,166729,163668,3061,0
126,2015-07-26,2015,BaltimoreWashington,conventional,1.2,Medium,772926,52746,496509,45011,178660,174775,3880,5
127,2015-07-19,2015,BaltimoreWashington,conventional,1.18,Medium,800194,52955,496206,50320,200713,196838,3862,13
128,2015-07-12,2015,BaltimoreWashington,conventional,1.1,Medium,850932,58829,547537,50679,193887,189236,4406,245
129,2015-07-05,2015,BaltimoreWashington,conventional,1.16,Medium,896299,66504,567641,56045,206109,200098,5891,120
130,2015-06-28,2015,BaltimoreWashington,conventional,1.15,Medium,862262,65052,534535,51110,211565,207378,4023,164
131,2015-06-21,2015,BaltimoreWashington,conventional,1.16,Medium,862841,58399,527866,51953,224623,220905,3488,230
132,2015-06-14,2015,BaltimoreWashington,conventional,1.09,Medium,955047,64005,593500,48345,249197,244982,3668,547
133,2015-06-07,2015,BaltimoreWashington,conventional,1.26,Medium,794310,62585,462951,43721,225053,221166,3626,261
134,2015-05-31,2015,BaltimoreWashington,conventional,1.19,Medium,949177,67744,617814,45833,217786,211788,5730,268
135,2015-05-24,2015,BaltimoreWashington,conventional,1.18,Medium,908662,63610,560740,49809,234503,228843,5549,111
136,2015-05-17,2015,BaltimoreWashington,conventional,1.27,Medium,790854,63515,455167,44841,227331,222163,5152,16
137,2015-05-10,2015,BaltimoreWashington,conventional,1.26,Medium,855206,79192,507104,44391,224519,215572,8947,0
138,2015-05-03,2015,BaltimoreWashington,conventional,1.17,Medium,896972,73039,536710,77537,209686,201875,7767,44
139,2015-04-26,2015,BaltimoreWashington,conventional,1.29,Medium,747841,58013,431533,39943,218352,212065,6184,103
140,2015-04-19,2015,BaltimoreWashington,conventional,1.28,Medium,762863,67488,427623,42125,225627,219886,5741,0
141,2015-04-12,2015,BaltimoreWashington,conventional,1.15,Medium,837630,70797,523170,42271,201392,196076,5316,0
142,2015-04-05,2015,BaltimoreWashington,conventional,1.29,Medium,688065,53579,401279,41867,191340,184109,6357,874
143,2015-03-29,2015,BaltimoreWashington,conventional,1.25,Medium,663677,58097,398051,43760,163769,158964,4805,0
144,2015-03-22,2015,BaltimoreWashington,conventional,1.1,Medium,808897,65159,524971,42381,176386,171700,4686,0
145,2015-03-15,2015,BaltimoreWashington,conventional,1.24,Medium,693698,53400,395837,46596,197865,193131,4734,0
146,2015-03-08,2015,BaltimoreWashington,conventional,1.26,Medium,657746,55285,367671,42268,192522,188374,4148,0
147,2015-03-01,2015,BaltimoreWashington,conventional,1.16,Medium,770115,59039,498873,40242,171961,168224,3737,0
148,2015-02-22,2015,BaltimoreWashington,conventional,1.11,Medium,749846,50500,445971,62612,190763,186977,3786,0
149,2015-02-15,2015,BaltimoreWashington,conventional,1.25,Medium,637319,49752,361677,45900,179990,174865,5125,0
150,2015-02-08,2015,BaltimoreWashington,conventional,1.09,Medium,844931,71704,554857,37437,180933,175771,5162,0
151,2015-02-01,2015,BaltimoreWashington,conventional,1.06,Medium,1007419,93168,666010,83652,164589,159917,4672,0
152,2015-01-25,2015,BaltimoreWashington,conventional,1.2,Medium,692934,49695,386399,39489,217351,209762,7589,0
153,2015-01-18,2015,BaltimoreWashington,conventional,1.23,Medium,657741,49947,393360,40576,173858,169390,4468,0
154,2015-01-11,2015,BaltimoreWashington,conventional,1.17,Medium,670232,51460,420838,42527,155407,151331,4076,0
155,2015-01-04,2015,BaltimoreWashington,conventional,1.08,Medium,788025,53987,552906,39995,141137,137146,3991,0
156,2015-12-27,2015,Boise,conventional,0.97,Low,62910,30483,2972,5894,23561,23520,6,35
157,2015-12-20,2015,Boise,conventional,1.03,Medium,57504,25628,2546,7394,21936,21901,11,24
158,2015-12-13,2015,Boise,conventional,0.99,Low,58461,27149,2986,6458,21868,21843,4,21
159,2015-12-06,2015,Boise,conventional,0.71,Low,95295,35591,12526,4086,43092,42735,0,357
160,2015-11-29,2015,Boise,conventional,1.06,Medium,49069,24190,2790,6031,16058,15861,0,197
161,2015-11-22,2015,Boise,conventional,1.09,Medium,52876,25409,3256,6663,17548,17531,4,13
162,2015-11-15,2015,Boise,conventional,1.01,Medium,68648,24425,12086,6502,25635,25199,9,427
163,2015-11-08,2015,Boise,conventional,1.11,Medium,55848,31910,4652,6286,13000,12778,120,102
164,2015-11-01,2015,Boise,conventional,1.14,Medium,53586,30435,4360,6428,12363,12332,0,31
165,2015-10-25,2015,Boise,conventional,1.11,Medium,59874,29521,10090,6552,13711,13661,0,50
166,2015-10-18,2015,Boise,conventional,1.16,Medium,54191,29615,9069,6586,8921,8918,0,3
167,2015-10-11,2015,Boise,conventional,0.94,Low,80904,26114,33416,7604,13770,13544,185,41
168,2015-10-04,2015,Boise,conventional,1.12,Medium,59496,35154,10822,7552,5968,5461,505,2
169,2015-09-27,2015,Boise,conventional,0.99,Low,64188,47008,5754,3663,7763,7597,160,6
170,2015-09-20,2015,Boise,conventional,1.03,Medium,73953,34827,21592,6640,10894,10602,273,19
171,2015-09-13,2015,Boise,conventional,1.08,Medium,64209,45739,4394,6593,7483,7483,0,0
172,2015-09-06,2015,Boise,conventional,1.16,Medium,64465,44135,5402,7992,6936,6934,0,2
173,2015-08-30,2015,Boise,conventional,1.19,Medium,60100,40926,5810,7923,5441,5441,0,0
174,2015-08-23,2015,Boise,conventional,1.05,Medium,70774,44060,14861,4433,7420,7420,0,0
175,2015-08-16,2015,Boise,conventional,1.12,Medium,64002,46190,5258,6457,6097,6091,0,6
176,2015-08-09,2015,Boise,conventional,1.1,Medium,61287,44740,5034,3931,7582,7569,13,0
177,2015-08-02,2015,Boise,conventional,1.07,Medium,67764,51152,5141,5435,6036,5987,49,0
178,2015-07-26,2015,Boise,conventional,1.07,Medium,67826,50978,4856,5480,6512,6358,154,0
179,2015-07-19,2015,Boise,conventional,1.09,Medium,63958,45922,5300,5565,7171,6354,817,0
180,2015-07-12,2015,Boise,conventional,1.05,Medium,74678,51829,5803,7474,9572,8335,1237,0
181,2015-07-05,2015,Boise,conventional,1.15,Medium,85044,61949,8022,8435,6638,6557,81,0
182,2015-06-28,2015,Boise,conventional,1.04,Medium,75280,59111,6573,3975,5621,5619,0,2
183,2015-06-21,2015,Boise,conventional,1.06,Medium,81397,52790,15445,5876,7286,7021,0,265
184,2015-06-14,2015,Boise,conventional,0.99,Low,87608,58792,17880,3136,7800,7800,0,0
185,2015-06-07,2015,Boise,conventional,1.12,Medium,80751,61244,7238,6656,5613,5604,9,0
186,2015-05-31,2015,Boise,conventional,0.97,Low,76689,57374,7421,4028,7866,7860,6,0
187,2015-05-24,2015,Boise,conventional,1.03,Medium,83210,54827,14839,6037,7507,7469,0,38
188,2015-05-17,2015,Boise,conventional,0.96,Low,77988,61320,7394,2920,6354,6346,0,8
189,2015-05-10,2015,Boise,conventional,1.06,Medium,95789,62505,15897,7891,9496,9454,0,42
190,2015-05-03,2015,Boise,conventional,1.0,Low,85467,66880,7942,4290,6355,6350,0,5
191,2015-04-26,2015,Boise,conventional,0.96,Low,88111,69545,7985,3402,7179,7174,0,5
192,2015-04-19,2015,Boise,conventional,0.99,Low,89695,56844,21631,3260,7960,7954,0,6
193,2015-04-12,2015,Boise,conventional,1.19,Medium,66246,44469,8506,7523,5748,5748,0,0
194,2015-04-05,2015,Boise,conventional,1.09,Medium,76704,57340,9060,3790,6514,6511,0,3
195,2015-03-29,2015,Boise,conventional,0.98,Low,74544,59532,7120,3102,4790,4790,0,0
196,2015-03-22,2015,Boise,conventional,1.17,Medium,61419,44227,6590,7290,3312,3312,0,0
197,2015-03-15,2015,Boise,conventional,1.0,Low,65918,51472,7018,2982,4446,4446,0,0
198,2015-03-08,2015,Boise,conventional,1.14,Medium,65350,45880,7206,7404,4860,4860,0,0
199,2015-03-01,2015,Boise,conventional,1.06,Medium,75046,40577,23739,3492,7238,6479,759,0
200,2015-02-22,2015,Boise,conventional,0.99,Low,76836,50872,16375,2122,7467,7235,232,0
201,2015-02-15,2015,Boise,conventional,1.14,Medium,61222,41548,7840,6493,5341,3648,1693,0
202,2015-02-08,2015,Boise,conventional,1.07,Medium,69971,54230,9647,3047,3047,1373,1674,0
203,2015-02-01,2015,Boise,conventional,0.91,Low,113578,67496,36532,2905,6645,4867,1778,0
204,2015-01-25,2015,Boise,conventional,1.03,Medium,66069,51922,7556,2061,4530,2009,2521,0
205,2015-01-18,2015,Boise,conventional,1.08,Medium,62870,50355,6342,2257,3916,1119,2797,0
206,2015-01-11,2015,Boise,conventional,1.18,Medium,57356,38112,10998,3322,4924,3295,1629,0
207,2015-01-04,2015,Boise,conventional,1.01,Medium,80034,44562,24964,2752,7756,6065,1691,0
208,2015-12-27,2015,Boston,conventional,1.13,Medium,450816,3885,346965,13953,86013,85914,99,0
209,2015-12-20,2015,Boston,conventional,1.07,Medium,489803,4912,390101,5888,88902,88769,133,0
210,2015-12-13,2015,Boston,conventional,1.01,Medium,549946,4642,455362,219,89723,89523,200,0
211,2015-12-06,2015,Boston,conventional,1.02,Medium,488679,5126,407520,143,75890,75666,224,0
212,2015-11-29,2015,Boston,conventional,1.19,Medium,350560,3609,272719,106,74126,73865,261,0
213,2015-11-22,2015,Boston,conventional,1.07,Medium,466760,4458,383420,234,78648,78162,486,0
214,2015-11-15,2015,Boston,conventional,1.05,Medium,513739,5310,420937,140,87352,85604,1748,0
215,2015-11-08,2015,Boston,conventional,1.04,Medium,641760,5304,542881,232,93343,88265,5078,0
216,2015-11-01,2015,Boston,conventional,1.06,Medium,553097,4887,449532,170,98508,93443,5065,0
217,2015-10-25,2015,Boston,conventional,1.02,Medium,534249,4005,430726,191,99327,94582,4745,0
218,2015-10-18,2015,Boston,conventional,0.94,Low,725296,6409,627504,333,91050,86047,5003,0
219,2015-10-11,2015,Boston,conventional,1.14,Medium,485707,5146,378296,355,101910,97513,4397,0
220,2015-10-04,2015,Boston,conventional,1.07,Medium,536479,5803,427359,278,103039,97208,5831,0
221,2015-09-27,2015,Boston,conventional,1.07,Medium,553307,5211,463080,289,84727,82124,2603,0
222,2015-09-20,2015,Boston,conventional,1.15,Medium,498640,4377,398673,418,95172,91613,3559,0
223,2015-09-13,2015,Boston,conventional,1.03,Medium,655683,5422,560792,354,89115,84844,4271,0
224,2015-09-06,2015,Boston,conventional,1.11,Medium,577775,4237,477868,497,95173,94559,614,0
225,2015-08-30,2015,Boston,conventional,1.13,Medium,526665,4177,438503,554,83431,83242,189,0
226,2015-08-23,2015,Boston,conventional,1.07,Medium,589471,4744,488292,609,95826,95585,241,0
227,2015-08-16,2015,Boston,conventional,1.15,Medium,565795,4461,464476,749,96109,95887,222,0
228,2015-08-09,2015,Boston,conventional,1.07,Medium,690517,4173,590998,827,94519,94288,231,0
229,2015-08-02,2015,Boston,conventional,1.17,Medium,571994,4441,468592,1452,97509,97215,294,0
230,2015-07-26,2015,Boston,conventional,1.28,Medium,500234,4299,393282,1958,100695,100467,228,0
231,2015-07-19,2015,Boston,conventional,1.18,Medium,597168,4720,477630,5072,109746,109519,227,0
232,2015-07-12,2015,Boston,conventional,1.14,Medium,634516,5331,471640,9362,148183,146947,1236,0
233,2015-07-05,2015,Boston,conventional,1.27,Medium,582910,4744,418251,11054,148861,145983,2878,0
234,2015-06-28,2015,Boston,conventional,1.25,Medium,560495,4688,403231,9120,143456,142575,881,0
235,2015-06-21,2015,Boston,conventional,1.24,Medium,543505,3583,404909,8899,126114,125821,293,0
236,2015-06-14,2015,Boston,conventional,1.08,Medium,684346,5104,521255,6545,151442,151259,183,0
237,2015-06-07,2015,Boston,conventional,1.25,Medium,562543,4035,421007,93,137408,137225,183,0
238,2015-05-31,2015,Boston,conventional,1.26,Medium,565161,4128,418105,109,142819,142516,303,0
239,2015-05-24,2015,Boston,conventional,1.14,Medium,633522,4601,490486,277,138158,137770,388,0
240,2015-05-17,2015,Boston,conventional,1.26,Medium,534489,4286,380514,163,149526,147668,1858,0
241,2015-05-10,2015,Boston,conventional,1.14,Medium,625558,4601,476828,131,143998,141310,2688,0
242,2015-05-03,2015,Boston,conventional,1.17,Medium,552369,3829,429586,240,118714,115149,3565,0
243,2015-04-26,2015,Boston,conventional,1.28,Medium,465911,3916,352464,131,109400,106866,2534,0
244,2015-04-19,2015,Boston,conventional,1.15,Medium,504620,4014,384880,163,115563,114562,1001,0
245,2015-04-12,2015,Boston,conventional,1.26,Medium,408485,3576,294164,106,110639,108644,1995,0
246,2015-04-05,2015,Boston,conventional,1.27,Medium,449818,3657,330425,100,115636,113541,1949,146
247,2015-03-29,2015,Boston,conventional,1.19,Medium,453631,3620,339299,151,110561,108838,1723,0
248,2015-03-22,2015,Boston,conventional,1.18,Medium,453173,5956,344397,156,102664,102204,460,0
249,2015-03-15,2015,Boston,conventional,1.25,Medium,417750,6085,308997,112,102556,101932,624,0
250,2015-03-08,2015,Boston,conventional,1.17,Medium,408404,3425,290513,79,114387,113811,576,0
251,2015-03-01,2015,Boston,conventional,1.11,Medium,485736,4106,383574,193,97863,97423,440,0
252,2015-02-22,2015,Boston,conventional,1.23,Medium,355432,3233,251341,142,100716,100498,218,0
253,2015-02-15,2015,Boston,conventional,1.2,Medium,399884,3796,281106,143,114839,114283,556,0
254,2015-02-08,2015,Boston,conventional,1.04,Medium,609985,7652,495732,384,106217,105404,813,0
255,2015-02-01,2015,Boston,conventional,1.22,Medium,490022,6083,373452,273,110214,109901,313,0
256,2015-01-25,2015,Boston,conventional,1.17,Medium,409344,4731,288095,46,116472,115538,934,0
257,2015-01-18,2015,Boston,conventional,1.23,Medium,401331,4382,287779,133,109037,108669,368,0
258,2015-01-11,2015,Boston,conventional,1.1,Medium,437772,5548,320577,122,111525,111193,332,0
259,2015-01-04,2015,Boston,conventional,1.02,Medium,491738,7194,396752,129,87663,87407,256,0
260,2015-12-27,2015,BuffaloRochester,conventional,1.35,Medium,96233,1367,39543,86,55237,55237,0,0
261,2015-12-20,2015,BuffaloRochester,conventional,1.37,Medium,90868,1165,38431,107,51165,51165,0,0
262,2015-12-13,2015,BuffaloRochester,conventional,1.35,Medium,98473,1422,40783,66,56202,56202,0,0
263,2015-12-06,2015,BuffaloRochester,conventional,1.23,Medium,108458,1738,58197,167,48356,48356,0,0
264,2015-11-29,2015,BuffaloRochester,conventional,1.39,Medium,79973,1515,35683,113,42662,42662,0,0
265,2015-11-22,2015,BuffaloRochester,conventional,1.4,Medium,90242,1711,38781,108,49642,49642,0,0
266,2015-11-15,2015,BuffaloRochester,conventional,1.36,Medium,99704,1805,41457,107,56335,55593,742,0
267,2015-11-08,2015,BuffaloRochester,conventional,1.3,Medium,111039,1289,49507,55,60188,58886,1302,0
268,2015-11-01,2015,BuffaloRochester,conventional,1.23,Medium,118541,2181,61875,186,54299,52957,1342,0
